date,startup,vertical,subvertical,city,investors,round,amount
2016-09-21,purpledocs,Consumer Internet,Electronic Health care records platform,Vadodara,"kellygamma, lead angels & others",Seed Funding,0.0
2016-09-21,pepperfry,eCommerce,Furniture eTailer,Mumbai,"goldman sachs group, zodius technology fund, norwest venture partners, bertelsmann india",Private Equity,287.96
2016-09-21,equickies,eCommerce,Online Book etailer,Ahmedabad,lothal angel ventures,Seed Funding,2.7416
2016-09-21,khel now,Consumer Internet,Mobile-based social networking platform,New Delhi,anglian omega network,Seed Funding,3.22
2016-09-22,gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,carpediem capital,Private Equity,55.2
2016-09-22,dailyrounds,Consumer Internet,Mobile App for Doctors,Bengaluru,"accel partners, beenext, powerhouse ventures, akusa holdings",Private Equity,0.0
2016-09-22,flixy games,Technology,Mobile Game Publisher for Indian audience,Bengaluru,rebright partners,Seed Funding,3.91
2016-09-22,hashtaag,Technology,Mobile App Development company,Bengaluru,undisclosed investors,Seed Funding,9.2
2016-09-22,pharmarack,Technology,SAAS application for Pharma Industry,Pune,"currae healthtech fund, unicorn india ventures",Private Equity,6.854
2016-09-23,cloudcherry,Technology,CRM SAAS Platform,Chennai,"vertex ventures, cisco ventures, idg ventures",Private Equity,55.2
2016-09-23,parentlane,Consumer Internet,Social Platform for babycare and parenting,Bengaluru,rohit ma,Seed Funding,0.0
2016-09-23,first moms club,Consumer Internet,Social Network for Mothers,Mumbai,idea wave labs,Seed Funding,0.0
2016-09-23,inmotion,Technology,Financial platform for daily wage earning communities,Noida,"prashant tandon, gaurav agarwal, gaurav bhogle, shrishti sahu, shantanu mathur, prabhat aggarwal",Seed Funding,0.0
2016-09-26,let\xe2\x80\x99s barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,scale ventures funds,Seed Funding,0.0
2016-09-26,evengini,Consumer Internet,Event Registration and Ticketing platform,Chennai,procam international pvt. ltd,Private Equity,0.0
2016-09-27,tinystep,Consumer Internet,Parenting Network Platform,Bengaluru,flipkart logistics pvt. ltd,Private Equity,14.536
2016-09-27,canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,pratik seal,Seed Funding,0.0
2016-09-28,beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,venture catalysts,Seed Funding,4.6
2016-09-28,instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,swastika co ltd.,Seed Funding,9.2
2016-09-28,celes care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,endiya partners,Seed Funding,9.2
2016-09-28,druva,Technology,Cloud Based Data Protection Solution,Pune,"sequoia india, edbi, blue cloud ventures, hercules capital",Private Equity,469.2
2016-09-29,promon,eCommerce,Local Commerce Platform,New Delhi,now capital,Seed Funding,1.656
2016-09-29,fastudent,eCommerce,Education eCommerce platform,Noida,"kanwaljit singh, ajay lakhotia, pavan ongole, ashish gupta",Seed Funding,0.0
2016-09-29,unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,"blume ventures, mumbai angels, ah! ventures, digital currency group, boost vc, bank to the future and funders club",Private Equity,13.8
2016-09-30,demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,deepak nathani,Seed Funding,0.0
2016-09-30,zeta,Technology,Enterprise Cloud Solutions,Mumbai,bhavin turakhia,Private Equity,174.8
2016-09-30,kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,rajasthan angel innovators network,Seed Funding,0.0
2016-01-08,healthkart,eCommerce,Online Pharmacy & Health Marketplace,Gurugram,"sequoia capital india, omidyar network, kae capital",Private Equity,110.4
2016-01-08,medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bengaluru,"mudit saxena, evan lim",Seed Funding,1.84
2016-01-08,repaireasy,Consumer Internet,Gadget Repair Services Platform,Pune,undisclosed hnis,Seed Funding,2.53
2016-01-08,voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bengaluru,innoven capital,Private Equity,27.6
2016-01-08,tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,syska led group,Private Equity,23.0
2016-02-08,sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"lumis partners, the hr fund, rajul garg, quintillion media",Private Equity,16.56
2016-02-08,daily ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bengaluru,"venk krishnan, aprameya radhakrishna, anupam mittal, kunal shah, tracxn labs, subramanya sv, ravi garkipati",Seed Funding,0.0
2016-02-08,yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"binny bansal, anupam mittal, sachin bhatia, darius pandole, kunal khattar, dheerag jain",Seed Funding,9.2
2016-03-08,xcode,Healthcare,Personal Genomics,Chennai,roundglass partners,Private Equity,0.0
2016-03-08,extracarbon,Consumer Internet,Waste Recycle Management platform,Gurugram,brand capital,Seed Funding,2.07
2016-03-08,flickbay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,paul roy,Seed Funding,8.188
2016-04-08,petoo,Consumer Internet,Food Delivery Platform,Bengaluru,existing investors,Seed Funding,4.6
2016-04-08,lehlehsports,Others,Sports Arena discovery,New Delhi,anglian omega network,Seed Funding,0.0
2016-05-08,tricog,Healthcare,Healthcare Analytics Platform,Bengaluru,"inventus capital partners, blume ventures & others",Private Equity,0.0
2016-06-08,vst travels,Technology,Travel Ticket Booking Software,Kerala,promatus group,Seed Funding,0.2484
2016-08-08,adpushup,Technology,Ad optimization Platform,New Delhi,"geniee, inc, purvi capital",Private Equity,0.0
2016-08-08,wefly indoor skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,swastika company ltd.,Seed Funding,0.368
2016-08-08,mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurugram,undisclosed investors,Seed Funding,4.094
2016-08-08,zipgrid,Consumer Internet,Community services platform,Mumbai,1crowd (through crowd funding),Seed Funding,1.84
2016-09-08,mobident,Healthcare,Dental Protection Solution,Bengaluru,centre for innovation incubation and entrepreneurship (ciie),Seed Funding,0.0
2016-09-08,zeolr/respiron,Technology,Healthcare related IoT platform,New Delhi,centre for innovation incubation and entrepreneurship (ciie),Seed Funding,0.0
2016-10-08,vebbler,Consumer Internet,Photo Sharing Mobile App,Bengaluru,"anupam mittal, sharad sharma & 14 others",Seed Funding,4.6
2016-10-08,bombay shaving company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"noshir kaka, subramanian ramadorai, kiran deshpande, pankaj gupta, ravi nigam & others",Seed Funding,5.52
2016-11-08,travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,"gujarat venture finance limited (gvfl), bennett coleman & co. ltd",Private Equity,64.4
2016-11-08,91springboard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"khattar holdings, thirtythree investments, soumitra sharma, deepak sharma, sumit dayal and others",Private Equity,0.0
2016-11-08,genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1crowd (through crowdfunding),Seed Funding,1.9228
2016-11-08,zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"norwest venture partners, accel india",Private Equity,138.0
2016-12-08,crofarm,Technology,Agri-Tech supply chain Solution provider,Gurugram,"mukul singhal, rohit jain, himanshu aggrawal, sunil goyal ashish gupta,",Private Equity,13.8
2016-12-08,faircent,Consumer Internet,peer-to-peer lending platform,Gurugram,brand capital,Private Equity,13.8
2016-12-08,innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,westbridge capital partners,Private Equity,143.52
2016-12-08,cuberoot,Technology,Data Analytics & Audience Management Platform,Gurugram,undisclosed investors,Seed Funding,4.6
2016-12-08,funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"ht media ltd, north base media",Seed Funding,0.0
2016-08-15,buttercups,ECommerce,Women Intimate Wear eTailer,Bengaluru,"anand chandrasekaran, kanwaljit singh, manoj varghese",Seed Funding,0.0
2016-08-16,zappfresh,ECommerce,Raw Meat Products eTailer,Gurugram,ashvin chadha,Seed Funding,0.0
2016-08-16,oyorooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,softbank group,Private Equity,570.4
2016-08-16,hike,Consumer Internet,Mobile Messaging App,New Delhi,"tencent holdings, foxconn technology group, tiger global, softbank group, bharti enterprises",Private Equity,1610.0
2016-08-16,joolz,eCommerce,Online Jewellery Store,Mumbai,"powerhouse ventures, m&s partners",Private Equity,4.6
2016-08-16,salebhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,brand capital,Private Equity,13.8
2016-08-16,makkajai,Technology,Online & Mobile learning for kids,Pune,"anand chandrasekaran, ananth narayanan, mekin maheshwari, ravi garikipati, divyesh shah, swastika company ltd",Seed Funding,2.3
2016-08-16,gradopedia,Consumer Internet,Career progression Portal,Mumbai,undisclosed dubai based hnis,Seed Funding,0.0
2016-08-17,maalgaadi,Logistics,Online Logistics Marketplace,Indore,"swan angel network,sachin khandelwal and others",Seed Funding,3.45
2016-08-17,zipi,Technology,Mobile Chatbot App,Bengaluru,swan angel network,Seed Funding,0.0
2016-08-17,appknox,Technology,Mobile security solutions,Bengaluru,"seedplus, infocomm investments, accel partners rnt associates",Private Equity,6.21
2016-08-17,pikkol,Logistics,Packers & Movers,Bengaluru,indian angel network,Seed Funding,0.0
2016-08-18,meesho,eCommerce,Mobile based eCommerce SAAS platform,Bengaluru,"kashyap deorah, rajul garg, maninder gulati",Seed Funding,0.0
2016-08-18,sesame software,Technology,Financial Technology Solutions Provider,Kozhikode,speridian technologies,Private Equity,0.0
2016-08-19,quikr,Consumer Internet,Classified Listings platform,Mumbai,brand capital,Private Equity,184.0
2016-08-19,digio,Technology,Aadhar based Document Signing platform,Bengaluru,rainmatter,Private Equity,3.45
2016-08-19,ziffity,Technology,Full Service Ecommerce Agency,Chennai,aspire systems,Private Equity,0.0
2016-08-22,zzungry,Consumer Internet,Food Delivery platform,Bengaluru,"satish vasudeva, madhusudhan jujare & others",Seed Funding,0.0
2016-08-22,puro wellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,torrent group,Private Equity,340.4
2016-08-22,fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"saha fund, exfinity venture partners & others",Private Equity,0.0
2016-08-23,tac security,Technology,Cyber-Security Solutions Provider,New Delhi,vijay kedia,Seed Funding,0.0
2016-08-23,notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"riju gupta, kamal chabra",Seed Funding,0.92
2016-08-23,nearu,Consumer Internet,Marketing app for retailers,Mumbai,dr. goutam challagalla,Seed Funding,0.0
2016-08-23,octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"outbox ventures, jaspreet bindra, arjun malhotra, rohan malhotra, sidharth rao, rakesh agrawal",Seed Funding,1.84
2016-08-24,shaadisaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! ventures, anupam mittal, kunal shah, sandeep tandon, dheeraj jain, rohit chokhani",Seed Funding,0.0
2016-08-24,unaacademy,Consumer Internet,Free Interactive education platform,Bengaluru,"blume ventures, sachin bansal, vijay shekhar sharma, binny bansal, kunal shah, sandeep tandon, ashish tulsian",Private Equity,9.2
2016-08-24,advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,kalaari capital,Seed Funding,0.92
2016-08-24,guarented,eCommerce,Home Furnishing rental marketplace,Bengaluru,kalaari capital,Seed Funding,4.6
2016-08-24,beyond evolution,Technology,Mobile Apps & Tech Services provider,Gurugram,"vineet taneja, kamal puri",Seed Funding,0.0
2016-08-24,uber dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,mohit lalvani,Seed Funding,4.6
2016-08-24,convegenius,Education,Edutainment platform,Noida,michael and susan dell foundation,Private Equity,8.28
2016-08-24,urbanladder,eCommerce,Online Furniture Store,Mumbai,trifecta capital,Private Equity,27.6
2016-08-24,encashea,Consumer Internet,Scrap Collection and Recycling platform,Bengaluru,"kunal shah, sandeep tandon, tracxn labs",Seed Funding,0.0
2016-08-25,engineerbabu,Technology,Mobile App & Web Development company,Indore,scale ventures,Seed Funding,0.0
2016-08-25,cult,Healthcare,Health and Fitness Centres,Bengaluru,curefit,Private Equity,27.6
2016-08-25,witworks,Technology,Consumer IoT Startup,Bengaluru,"fireside ventures, investopad, p39 capital, anupam mittal, pranay jivrajka, maninder gulati, abhinav sinha",Seed Funding,0.0
2016-08-25,nearfox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"globevestor angel fund, devendra rane, ravi jain, arpan nagdeve",Seed Funding,0.0
2016-08-25,zoomcar,Consumer Internet,Self-driven car booking platform,Bengaluru,ford smart mobility llc,Private Equity,220.8
2016-08-26,plix,Consumer Internet,Photo and Video Sharing App,Gurugram,instalabs,Seed Funding,4.6
2016-08-26,mobikwik,Consumer Internet,Digital Wallet platform,Gurugram,net1 ueps technologies inc,Private Equity,368.0
2016-08-26,mydidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,undisclosed ex mckinsey directors and partners,Seed Funding,5.06
2016-08-26,crownit,Consumer Internet,Cashback Mobile app,Gurugram,"kunal shah & sandeep tandon, girish mathrubootham, anand chandrasekaran",Seed Funding,0.0
2016-08-29,loantap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"dr. abhishek pandey, jaysukh sapra",Private Equity,27.6
2016-08-29,runnr,Consumer Internet,hyperlocal Logistics services provider,Bengaluru,"nexus venture partners, blume ventures",Private Equity,64.4
2016-08-29,zolo,Consumer Internet,on-demand online talent marketplace,Noida,hitouch ag,Private Equity,0.0
2016-08-29,notion press,Consumer Internet,Self-Publishing books platform,Chennai,undisclosed hni investors,Private Equity,9.2
2016-08-29,livspace,Consumer Internet,Online portal for Home Design,Bengaluru,"bessemer venture partners, jungle ventures, helion ventures",Private Equity,138.0
2016-08-30,iaugmentor labs,Technology,Assessment & Learning Platform,Gurugram,rajasthan angel investor network & others,Seed Funding,1.3708
2016-08-30,daybox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"ashutosh lawania, rajul jain, badal malick, rishi gupta & others",Seed Funding,0.9568
2016-08-30,paytm,eCommerce,Mobile Wallet & ECommerce platform,Bengaluru,mediatek inc.,Private Equity,552.0
2016-08-30,cropin,Technology,Agriculture Technology Solutions,Bengaluru,sophia investment aps,Private Equity,18.4
2016-08-30,canvera,Consumer Internet,Photographer Discovery & Information platform,Bengaluru,info edge (india) ltd,Private Equity,27.6
2016-08-30,prime focus technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,ambit pragma,Private Equity,0.0
2016-08-31,flyrobe,eCommerce,Online fashion rental platform,Mumbai,"idg ventures, sequoia capital, gree ventures",Private Equity,48.76
2016-08-31,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"sarbvir singh, raghav bahl",Seed Funding,0.0
2016-01-07,razorpay,Consumer Internet,Online Payment Gateway,Bengaluru,mastercard,Private Equity,0.0
2016-01-07,darwinbox,Technology,HR Software Services Startup,Hyderabad,"3one4 capital, tracxn labs, aaruha technology fund, endiya partners",Seed Funding,0.0
2016-01-07,venture catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,zaffiro ventures,Seed Funding,4.6
2016-01-07,pressplay tv,Consumer Internet,Video Content Discovery Platform,New Delhi,"sequoia capital, sd ventures, vistaar investment advisors pvt. ltd.",Private Equity,0.0
2016-02-07,playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bengaluru,saif partners,Private Equity,6.44
2016-04-07,wealthtrust,Consumer Internet,Wealth Management App,Mumbai,india quotient,Seed Funding,0.0
2016-04-07,curefit,Consumer Internet,Online Preventive Healthcare Platform,Bengaluru,"accel partners, idg ventures, kalaari capital",Private Equity,138.0
2016-04-07,stitchwood,eCommerce,Custom Furniture Online,Mumbai,deepak gupta,Seed Funding,1.84
2016-04-07,grab.in,Logistics,hyperlocal logistics service,Mumbai,aramex ventures llc,Private Equity,18.4
2016-04-07,fulfil,Consumer Internet,Cloud Based ERP Software,US,rajan anandan,Seed Funding,0.0
2016-04-07,neogrowth,Finance,SME Lending platform,Mumbai,"iifl wealth management seed venture fund, omidyar network, khosla impact, aspada",Private Equity,147.2
2016-05-07,seedoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurugram,yournest angel fund & others,Private Equity,9.2
2016-05-07,bookmyshow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"stripes group, network 18, accel partners, saif partners",Private Equity,754.4
2016-05-07,flyrobe,eCommerce,Online fashion rental platform,Mumbai,"sequoia capital, rohit bansal, kunal bahl, sandeep tandon, kunal shah, zishaan hayath, abhishek jain",Seed Funding,15.64
2016-06-07,happilyunmarried,eCommerce,Online Merchandize etailer,New Delhi,info edge (india) ltd,Private Equity,6.808
2016-06-07,don't scratch your head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"gaurav singhvi, zaffiro ventures",Seed Funding,2.3
2016-06-07,wedding wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"kirthiga reddy, renuka ramanath,cherry tin",Seed Funding,2.7324
2016-07-07,appdaily,Technology,Mobile Security App development & Distribution,Mumbai,"kalaari capital, qualcomm ventures, ru-net, zodius technology opportunities fund,",Private Equity,18.4
2016-07-07,adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,indian angel network,Private Equity,9.2
2016-07-07,quickli,Logistics,On-Demand Delivery Startup,Gurugram,"avg group, 500 startups",Private Equity,0.0
2016-07-07,spectravr,Technology,Virtual Reality Content Studio,Mumbai,rothenberg ventures,Seed Funding,0.0
2016-08-07,pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bengaluru,"alex chua, rahul garg",Seed Funding,0.0
2016-08-07,holachef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"kalaari capital, india quotient",Private Equity,17.94
2016-11-07,purplle,eCommerce,Beauty Products Marketplace,Mumbai,"jsw ventures, blume ventures & ivycap ventures",Private Equity,55.2
2016-11-07,trak n tell,Technology,Car Tracking & Safety System,Gurugram,brian acton,Private Equity,32.2
2016-11-07,overcart,eCommerce,Unboxed & refurbished electronic products marketplace,Gurugram,"jsw ventures, omidyar network, sattva capital, venture works",Private Equity,27.6
2016-12-07,sirionlabs,Technology,SAAS based Service Agreement Management,Gurugram,sequoia capital,Private Equity,112.7
2016-12-07,gyandhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"stanford angels & entrepreneurs, harvard angels",Seed Funding,0.0
2016-12-07,mintm,Consumer Internet,Digital Marketing & AdTech Platform,Bengaluru,"mumbai angels, times internet",Private Equity,0.0
2016-12-07,hitgrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"ashish mahajan, sarvesh sharma",Seed Funding,0.0
2016-12-07,find my stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"rishi parti, yogesh bansal",Seed Funding,0.0
2016-07-13,yaap,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,rainmaker ventures,Private Equity,46.0
2016-07-13,utoo cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,ajay piramal,Seed Funding,0.0
2016-07-13,twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurugram,"tracxn labs, hyderabad angels, kunal shah, gaurav bhalotia",Seed Funding,5.52
2016-07-13,sharechat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bengaluru,"saif partners, india quotient",Private Equity,12.42
2016-07-13,urban tailor,Consumer Internet,E-Tailoring service provider,Bengaluru,unitus seed fund,Private Equity,0.0
2016-07-13,rentmojo,Consumer Internet,Online Furniture Renting Platform,Bengaluru,"accel partners, idg ventures india",Private Equity,46.0
2016-07-13,cityfurnish,Consumer Internet,Online Furniture Renting Platform,Gurugram,brand capital,Seed Funding,0.0
2016-07-13,heal institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"jaspal bindra, parth jindal",Seed Funding,0.0
2016-07-14,augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,keiretsu forum,Seed Funding,4.14
2016-07-14,shoppinpal,Technology,M-Commerce Solutions for Retail Stores,Pune,"plug and play tech center, steelhead ventures & others",Private Equity,9.844
2016-07-14,transtutors / askiitians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 startups,Private Equity,0.0
2016-07-15,workapps,Technology,Enterprise Work Management Software,Pune,sri capital,Seed Funding,9.2
2016-07-15,bankerbay,Consumer Internet,Online Investment Banking platform,Bengaluru,undisclosed investors,Private Equity,18.4
2016-07-15,baggout,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"sumit jain, sumit jain, anurag gupta, varun khanna, faraz khan",Seed Funding,0.0
2016-07-15,tripshelf,eCommerce,Travel Package Marketplace,New Delhi,gems group,Seed Funding,2.3
2016-07-15,satvacart,eCommerce,Online Grocers,New Delhi,"abhijit avasthi, karan chellani, sp vijay",Seed Funding,0.0
2016-07-15,ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"times internet, innoven capital, matrix partners india, qualcomm ventures",Private Equity,55.2
2016-07-18,yellowdig,Consumer Internet,Online Learning Platform,Pune,sri capital,Seed Funding,5.98
2016-07-18,zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,sri capital,Seed Funding,5.98
2016-07-18,bluestone,eCommerce,Jewellery Etailer,Mumbai,"iifl and accel partners, kalaari capital, ivycap ventures, rb investments",Private Equity,276.0
2016-07-18,underdogs,Technology,Game Development Startup,Mumbai,intelli reboot digital pvt. ltd,Private Equity,0.0
2016-07-18,imageprovision,Technology,Image Analysis Solutions,Pune,satish jamdar,Seed Funding,0.0
2016-07-19,sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,star india pvt. ltd,Private Equity,92.0
2016-07-19,deal4loans / wishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,franklin templeton international services pvt. ltd,Private Equity,138.0
2016-07-19,niyo solutions,Technology,Payroll & Benefits Software solutions,Bengaluru,prime venture partners,Private Equity,9.2
2016-07-19,applop,Consumer Internet,Mobile Apps SaaS Platform,Gurugram,green house ventures accelerator,Seed Funding,2.3
2016-07-20,tax2win,Consumer Internet,Online Tax Filing Portal,Jaipur,undisclosed investors,Private Equity,9.2
2016-07-20,truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"abhishek agarwal, krishnakumar nataraj, sarath sura, shanti mohan, sarthak and nihit agarwal, suramya gupta",Seed Funding,5.474
2016-07-20,iserve financial,Consumer Internet,Loan Comparison & Deals platform,Pune,nilesh shah,Seed Funding,0.0
2016-07-21,mytaxiindia,Consumer Internet,Online Car rental booking platform,New Delhi,nihon kotsu co,Private Equity,9.2
2016-07-21,aberuk,eCommerce,Online Marketplace for books,Bengaluru,swastika company pvt ltd,Seed Funding,0.0
2016-07-21,wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bengaluru,indian angel network,Seed Funding,5.474
2016-01-06,chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,undisclosed investors,Seed Funding,0.0
2016-01-06,bridgei2i,Technology,Data Analytics Platform,Bengaluru,edelweiss private equity,Private Equity,0.0
2016-02-06,droom,eCommerce,Online marketplace for used automobiles,New Delhi,"beenext, digital garage, lightbox, beenos",Private Equity,0.0
2016-02-06,visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,mapmyindia,Seed Funding,0.0
2016-02-06,atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,parampara capital,Private Equity,9.2
2016-02-06,coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,venture catalysts,Seed Funding,0.0
2016-02-06,limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,rainmaker ventures,Private Equity,9.2
2016-03-06,icliniq,Consumer Internet,Doctor Consultation platform,Bengaluru,madhankumar madathupalayam,Seed Funding,0.0
2016-03-06,gogo truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,undisclosed investor,Seed Funding,0.69
2016-03-06,vyome biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,romulus capital,Private Equity,18.4
2016-06-06,sillymonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,sreenivasa reddy musani,Seed Funding,4.1216
2016-07-06,cuemath,Education,K-12 Maths Learning Courses,Bengaluru,"sequoia capital, unitus seed fund",Private Equity,36.8
2016-07-06,krazybee,Consumer Internet,Student Micro-Loan platform,Bengaluru,"yeahmobi, fenqile",Private Equity,18.4
2016-07-06,intgrea,Technology,Post merger Integration Partners,Bengaluru,undisclosed investor,Seed Funding,0.92
2016-07-06,helpshift,Technology,Mobile CRM Platform,Pune,"microsoft ventures, salesforce ventures",Private Equity,211.6
2016-07-06,creditvidya,Technology,Credit Scoring Platform,Mumbai,kalaari capital,Private Equity,9.2
2016-08-06,grey campus,Consumer Internet,Online Learning Platform,Hyderabad,sarath sura,Seed Funding,9.2
2016-08-06,listup,eCommerce,Location based Classified Mobile app,Mumbai,"kae capital, kunal shah, sandeep tandon",Seed Funding,4.6
2016-08-06,6degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,indian angel network,Seed Funding,1.84
2016-08-06,shopwati,Consumer Internet,Online Fashion Discussion Community,Gurugram,sanjiv rai,Seed Funding,0.0
2016-08-06,cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bengaluru,"kunal shah, aneesh reddy, tracxn labs, venkat tadanki, krishna mehra, amit rathore",Seed Funding,0.0
2016-08-06,storeking,eCommerce,Connecting Small Town Consumers to E-Commerce,Bengaluru,axiata digital,Private Equity,147.2
2016-08-06,wired hub,Real Estate,Co-Working Spaces,Jaipur,"ankit maheshwari, anand singh",Seed Funding,0.0
2016-08-06,myseniordoctor,Consumer Internet,Online medical support platform,Gurugram,blackjag partners,Seed Funding,1.84
2016-09-06,teabox,eCommerce,Online Tea Store,Siliguri,cameron jones,Seed Funding,0.0
2016-09-06,extraaedge,Consumer Internet,Student Acquisition Platform,Pune,"ritesh dwivedy, priti padhy",Seed Funding,0.0
2016-09-06,epaylater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed hnis,Seed Funding,18.4
2016-10-06,kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,ratan tata,Seed Funding,0.0
2016-10-06,paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"cio angel network, indian angel network",Private Equity,4.6
2016-10-06,kickstart jobs,Technology,Entry level hiring platform,Gurugram,"vivek joshi, mohit satyanand, amit banati, arun khanna",Seed Funding,0.0
2016-10-06,freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,edelweiss private equity,Private Equity,0.0
2016-10-06,madrat games,Technology,Wearable Gaming Platform,Bengaluru,"ratan tata, bhavish aggarwal, ankit bhati, binny bansal, girish mathrubootham",Seed Funding,0.0
2016-11-06,jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,tvs automobile solutions ltd,Private Equity,0.0
2016-11-06,autosense,Technology,Data Analytics based Customer Management Services,New Delhi,tvs automobile solutions ltd,Private Equity,0.0
2016-11-06,redsun telematics,Consumer Internet,Internet of Things Platform,Chennai,tvs automobile solutions ltd,Private Equity,0.0
2016-06-13,khanagadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50k ventures,Seed Funding,0.0
2016-06-13,bombay shirt company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,9.2
2016-06-14,edtechreview,Consumer Internet,Education based online portal,New Delhi,evc ventures,Seed Funding,0.0
2016-06-14,bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,valpro capital and existing investors,Private Equity,0.0
2016-06-14,gobolt,Logistics,B2B Logistics provider,New Delhi,mcube8,Seed Funding,0.0
